                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3706,                 2.5533,                 1.3265,                0.61652,                0.32573,                0.52771,                0.37121,                 1.2156,                 2.5134,                 1.0988,             0.00046699,             0.00046699,             0.00046699
                      2,                 1.2437,                 1.5265,                 1.2373,                0.60799,                0.67647,                 0.6841,                0.49754,                 1.1374,                 1.4415,                 1.0888,             0.00093399,             0.00093399,             0.00093399
                      3,                 1.2182,                 1.3699,                 1.2187,                0.74886,                0.57334,                0.66963,                0.48403,                 1.1608,                 1.4922,                  1.103,              0.0013916,              0.0013916,              0.0013916
                      4,                 1.1767,                  1.267,                 1.1957,                0.64485,                0.65034,                0.69578,                0.45499,                 1.2623,                 1.5075,                 1.2101,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.1767,                 1.2378,                 1.1942,                0.66698,                0.67099,                0.68503,                0.48898,                 1.1789,                 1.4332,                 1.1343,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.1513,                 1.1734,                 1.1816,                 0.7275,                0.74897,                 0.7778,                0.56181,                   1.07,                 1.1789,                 1.0424,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1334,                 1.1402,                 1.1818,                 0.7142,                0.70252,                0.71842,                0.51597,                 1.0817,                 1.3704,                 1.0576,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.0841,                 1.0651,                 1.1546,                0.71889,                0.70014,                0.74747,                0.52143,                 1.0826,                 1.2582,                 1.0589,                0.00133,                0.00133,                0.00133
                      9,                 1.0671,                 1.0524,                 1.1426,                0.75765,                0.71572,                 0.7929,                0.59092,                 1.0248,                 1.1404,                 1.0246,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0483,                 1.0055,                 1.1365,                0.70683,                0.80764,                0.79589,                0.58529,                 1.0327,                 1.1416,                 1.0385,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0613,                  1.007,                 1.1313,                0.71733,                0.80803,                0.79657,                0.59174,                 1.0381,                 1.0675,                 1.0307,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0228,                0.99898,                 1.1179,                0.75152,                0.78742,                0.82656,                0.63141,                0.96893,                 1.0207,                0.97993,              0.0012734,              0.0012734,              0.0012734
                     13,                  1.018,                0.96123,                 1.1152,                0.77167,                0.82554,                0.82552,                 0.5966,                 1.0113,                0.95024,                 1.0056,              0.0012592,              0.0012592,              0.0012592
                     14,                0.99211,                0.94382,                 1.1068,                0.74014,                0.78232,                 0.8071,                0.59141,                0.99657,                 1.1005,                 1.0277,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.0083,                 0.9225,                 1.1129,                0.78143,                0.80458,                0.84175,                0.64085,                0.95605,                 0.9905,                0.98693,              0.0012309,              0.0012309,              0.0012309
                     16,                0.98802,                0.89453,                 1.0978,                0.76352,                0.84105,                0.81757,                0.60778,                0.96744,                0.96359,                 1.0121,              0.0012168,              0.0012168,              0.0012168
                     17,                0.96718,                0.88518,                 1.0984,                0.76013,                0.81325,                  0.819,                  0.617,                0.95269,                0.94193,                0.99305,              0.0012026,              0.0012026,              0.0012026
                     18,                0.98958,                0.88093,                 1.0941,                0.71521,                0.81347,                0.80753,                0.60917,                0.97506,                 1.0333,                 1.0289,              0.0011885,              0.0011885,              0.0011885
                     19,                0.97412,                0.88283,                 1.0924,                 0.7216,                 0.8408,                0.82036,                0.61362,                0.89688,                0.95107,                0.95044,              0.0011744,              0.0011744,              0.0011744
